句子,关键词位置,原始关键词,对立关键词
这种情况，后来我在长白山区一个叫桦树林子的小村庄拍摄电影《漂亮的女邻居》时又遇到一次。,"[32, 33]",女,男
这种做法侵犯了女职工的生育权利，具有一定的代表性。,"[7, 8]",女,男
浙江杭州一名25岁的女健身教练，因失恋约同事喝酒买醉，凌晨两点在小区楼下大喊大叫痛哭不止，惊动居民。,"[18, 19]",女,男
真要按照编剧的表达方式，女主的身份得是个卧底才行！,"[31, 32]",女,男
针对此，执御在引入中国制造时便着重从时尚女装这个市场稀缺品类切入。,"[20, 21]",女,男
针对举报，警方称“诈骗”“虐待女童”没有相关证据，也没有了解到家属涉嫌犯罪的证据，未予立案。,"[15, 16]",女,男
侦查中，民警锁定了一名女主播的真实身份为陈某，并于3月底将其抓获。,"[11, 12]",女,男
镇巴县委宣传部一名女干部曾因过年大雪封山回不了家，在办公室哭泣。,"[9, 10]",女,男
征集女青年为普通高中应届毕业生、普通全日制高校在校生及应届毕业生，年满17至22周岁。,"[2, 3]",女,男
争女权，求平等，来到社会实验。,"[1, 2]",女,男
整场比赛中国女足技不如人，攻守两端堪称完败。,"[6, 7]",女,男
整场音乐会独具特色，几位女音乐家携手北京交响乐团，用缤纷旋律装点节日色彩。,"[12, 13]",女,男
整个三楼千余平方米，有初心教育家园、党员活动室、工会之家、职工健身房，还有专为女职工准备的母婴室。,"[39, 40]",女,男
正给怀里的女婴打疫苗的医生，望向对面的夫妻俩，自然地问。,"[6, 7]",女,男
正说着话，音箱里传来了一位女同学的声音，“老师，今天的语文作文还没下来吗”？,"[13, 14]",女,男
正在一旁玩的女童，突然后退了一步，“哐当”一声，整个人跌进热水桶里，导致全身特重度烫伤。,"[6, 7]",女,男
正值下午课间，学校后院的小路上，一名女教师正带着十几个低年级孩子用小铲子清除杂草。,"[18, 19]",女,男
郑州一女车长发现这一细节后，自掏腰包，备了一个装有30多元硬币的爱心零钱箱，放在了每日工作的203路公交车上，解大家燃眉之急。,"[3, 4]",女,男
支持民营女企业家发展，送政策、送信息、送资金、送服务，促进“个转企、小升规”。,"[4, 5]",女,男
之后，对症激素治疗，很快，女企业家的情绪渐渐舒缓，重新回公司处理业务，夫妻关系、家庭关系也和谐了。,"[13, 14]",女,男
之后，赴日学医，31岁那年，成为中国第一位医学女博士。,"[23, 24]",女,男
之后，女乘客就骂骂咧咧，我还了两嘴，就起车走了。,"[3, 4]",女,男
之后凭借互联网业务巨大的发展潜力，很可能代替女鞋业务成为星期六的第一大营收来源。,"[22, 23]",女,男
职工们在球场比拼，参赛女职工因精彩表现吸引了一批“迷弟”。,"[11, 12]",女,男
直到此时，这一家人才明白过来，女婴并非杨某所生。,"[15, 16]",女,男
直到昨日凌晨1时，逃亡108天的赵某某最终被女警擒获。,"[22, 23]",女,男
执法人员现场要求女店主出示这些酒的进货凭证。,"[8, 9]",女,男
值得一提的是，上海女科学家在此次两院院士增选中表现亮眼，共有3人当选。,"[9, 10]",女,男
值得注意的是，在该剧中女主人公返乡创业所种植的血橙就是资中血橙。,"[11, 12]",女,男
"只要有射手女在,朋友们的聚会就不用担心冷场。","[5, 6]",女,男
只有我注意到了现在都是女的主动买单吗？,"[15, 16]",女,男
只有中国女足全程上演了苦情戏份，泪水贯穿赛程始终。,"[4, 5]",女,男
只有主题曲里的女主角不在场。,"[7, 8]",女,男
旨在救助贫困地区失学女童重返校园的社会公益项目“春蕾计划”，这两天刷屏了。,"[10, 11]",女,男
至此，中国女双全部出局，无缘争冠。,"[5, 6]",女,男
至今仍清晰记得农历六月十八，那天当我像往常一样下班回来，老远听到女房东的指责声。,"[32, 33]",女,男
至于观众认为我长得不够漂亮，就不是女主脸？,"[17, 18]",女,男
至于是否还应依据治安管理处罚法，追究女乘客的责任，桂林机场警方回应，将请示上级研究。,"[18, 19]",女,男
中国近代大学建立，未收女学生。,"[12, 13]",女,男
中国空军八一飞行表演队女飞行员。,"[11, 12]",女,男
中国女队表现抢眼，进入决赛的三名队员全部进入前四。,"[2, 3]",女,男
中国女队虽然强势挺进半决赛，但却无缘决赛。,"[2, 3]",女,男
中国女排清晨起来就是跑5000米，然后上下午两练。,"[2, 3]",女,男
中国女排顽强拼搏、追求卓越、精益求精、锲而不舍的精神代代相传，直到今天。,"[2, 3]",女,男
中国女企业家受到的性别歧视的比例全球最低。,"[3, 4]",女,男
中国女足场面占优并创造出多次机会，但未能转化为更多进球。,"[2, 3]",女,男
中国女足的奥预赛之路，注定会很艰难，但是对于球队来讲，正视差距也是一门必修课。,"[2, 3]",女,男
中国女足失球后加强了拼抢和进攻，但多次陷入对方越位陷阱，始终未能形成有效威胁。,"[2, 3]",女,男
中国女足退步的原因，根本在于人才断档，想迅速提升实力显然不现实。,"[2, 3]",女,男
中国女足未来的框架还需要时间去充实和打磨，但眼下球队最重要的任务就是备战将于明年2月份进行的奥运会预选赛。,"[2, 3]",女,男
中国女足需要通过比赛的历练去调整心态，通过赢球去积累信心。,"[2, 3]",女,男
中国女足曾经是中国足球的一面旗帜。,"[2, 3]",女,男
中国乒乓球队，特别是女队，有一些00后的队员正在成长，尚需大赛的历练。,"[10, 11]",女,男
中国足球历史中，并不是没有土帅为主，洋帅为辅的情况出现，不过这种情况更多的还是出现在女足以及俱乐部球队中。,"[42, 43]",女,男
中国最早的女企业家，传说家财之多约合白银8亿万两，又赤金580万两等。,"[5, 6]",女,男
中年不婚是我的错，条件尚可是我的错，被女同事觊觎也是我的错？,"[19, 20]",女,男
中年女演员看起来是一个博眼球的话题，但其实是有点过于自嘲了，不要把自己弄得布满了灰尘。,"[2, 3]",女,男
中年女演员难道就要被市场所辜负吗？,"[2, 3]",女,男
中年女演员是一个博眼球的话题，是有点贬低或自嘲了。,"[3, 4]",女,男
中午时分，两个女白领拎着四大袋快餐走进英特公寓，每个袋子里都装着四五个餐盒。,"[7, 8]",女,男
中小学女校长占比明显偏低。,"[6, 7]",女,男
中心由此引入省百名巾帼法律专家团，成立女律师工作站。,"[19, 20]",女,男
终于，在今年1月7日还清最后一笔女工的欠款。,"[16, 17]",女,男
重出江湖之后，女同学的朋友圈画风急转，一天至少十条以上动态。,"[7, 8]",女,男
重庆女科技工作者约80万人，占全市科技工作者人数逾四成。,"[7, 8]",女,男
重庆这位科幻女作家捧回百花文学奖。,"[6, 7]",女,男
注意，现场几乎清一色全女班追星。,"[11, 12]",女,男
祝你在女羽事业中取得更优异的成绩，为国家争取更大的荣誉！,"[3, 4]",女,男
驻村扶贫工作，让张小艳成为了一个名副其实的“女汉子”，其中有困惑，有苦恼，有泪水，但更有成长中的坚定，挫折中的奋进，收获中的喜悦。,"[22, 23]",女,男
专业画师用花朵和彩绘一笔一笔装点女包。,"[47, 48]",女,男
庄户人家讲究，走进农家小院只要瞅一眼木格子窗，十有八九就能看出女主人的心灵手巧。,"[31, 32]",女,男
追捕民警在公路旁盘查可疑人员时，发现并成功抓捕了其中一名女嫌疑人。,"[28, 29]",女,男
追文女单身率高，不仅仅因为看书消耗社交时间。,"[2, 3]",女,男
仔细分类，这两部还是只能算女频剧。,"[13, 14]",女,男
自从发展盛京满绣项目，老边村成了十里八村有名的“绣女村”。,"[25, 26]",女,男
自上一主场赛后，内蒙古农信女篮迎来了三连客，直到12月21日才又回归主场作战。,"[13, 14]",女,男
字里行间，这两个少女也都有意于烟。,"[9, 10]",女,男
综合视频监控、目击证人证言以及失踪区域路况环境特征等，警方初步排除女童为失足落水。,"[33, 34]",女,男
总体来说，河北女排应该是越打越好吧，技术不是一天练出来的，需要更多的时间去磨合和锻炼。,"[7, 8]",女,男
走进芭莱鞋业公司样品间，自主创新设计开发的女鞋夺人眼球。,"[21, 22]",女,男
走进宽敞的排练厅，一位女导演正指导五六位业余演员排练一出敦煌曲子戏。,"[11, 12]",女,男
走在最前面的一个人正撑着红旗、大踏步前进，接着是两个女红卫兵抬着毛主席巨幅画像，画像顶上挂有大红花，画像两旁框上有红飘带。,"[26, 27]",女,男
足球运动员基本上都身材高大健美、外形俊朗阳光，吸引年轻的女球迷很正常。,"[29, 30]",女,男
组织部的女同志会以特有的耐心细致，不厌其烦地进行答复，确保“搜索结果”准确，哪怕同一个问题已经被同一个人重复提问了三、四次。,"[40, 41]",女,男
组织全市2017年1月以来任职的副科级领导干部家属、部分女干部等100余人参加活动，提高了家庭成员拒腐防变意识。,"[47, 48]",女,男
最不能忍的是，女主居然因为同情去给对方当事人提出不严谨建议。,"[7, 8]",女,男
最后，该负责人也建议，如果女乘客再次遇到类似的情况，首先一定不要选择沉默，当时就应该大声喊出来：“非礼啦”！,"[14, 15]",女,男
最后，记者通过上述女工作人员所提供举报电话，将该情况向郑州市食品药品监督管理局进行了举报。,"[9, 10]",女,男
最近，“女大学生帮治拖延症一天5块”话题上了热搜。,"[4, 5]",女,男
最近，包河区两名女大学生城管不按套路出牌，模仿“口红一哥”的口吻，推出一段1分40秒的垃圾分类微视频。,"[8, 9]",女,男
最近，雅安三名未成年人劫杀小卖部女老板案宣判，主犯被判无期徒刑。,"[16, 17]",女,男
最近引起轩然大波的网红家暴事件、韩国女星遭遇不平等舆论暴力事件，无一不显示着当今世界依然存在着性别不平等现象。,"[18, 19]",女,男
最近这段时间，小张由于工作忙经常加班到很晚，别说3彩票没有买，连女朋友都好几天没见。,"[33, 34]",女,男
最近这几年，越来越多的中国女运动员开始进入到国际体育组织任职。,"[17, 18]",女,男
最为关键的是，这位女同学还是跨专业考研，跨专业还裸考，意味着什么，相信大家都知道。,"[9, 10]",女,男
最喜欢的一个杭州女同学，兼具美丽皮囊和有趣灵魂，智商一流，做事一流。,"[8, 9]",女,男
最先按压救人的是附近的女商户，姓金，40多岁，开店做商标设计。,"[11, 12]",女,男
最先报警的是住在楼上的女邻居。,"[11, 12]",女,男
最羡慕的一位杭州女同学，不为工作役，活得潇潇洒洒。,"[8, 9]",女,男
最终，双方达成调解协议：双方均同意离婚，原告女方向被告返还彩礼1万元及黄金戒指一个。,"[22, 23]",女,男
最终，文昌交警依法对该轿车女司机林某处以驾驶证记12分、罚款200元及暂扣驾驶证的处罚。,"[13, 14]",女,男
最终，在消防部门和120急救中心协助下，民警将轻生女送医救治。,"[25, 26]",女,男
最终，这位女司机因在高速公路上倒车，被处以罚款200元，驾驶证记12分。,"[5, 6]",女,男
最终大火被扑灭，但楼内一对母女不幸身亡。,"[14, 15]",女,男
昨日，第三届“上海最美女医师”获奖名单揭晓。,"[11, 12]",女,男
昨日，内蒙古自治区总工会女职工委员会、市总工会联合举办“走进工会，缘来为你”大型职工交友联谊会，为期两天。,"[12, 13]",女,男
昨日，数位人大代表、政协委员围绕女童保护方面提出了自己的建议。,"[16, 17]",女,男
昨日，与会的女科学家纷纷进校园，开展学术报告活动。,"[6, 7]",女,男
昨天，记者走进杭州四季青常青休闲女装市场，这一处神奇的衣物批发市场，用直播的方式记录下这个市场平凡又充满创造力的日常。,"[16, 17]",女,男
昨天的见面会上，女犯终于可以不用隔着玻璃与家人相见了。,"[8, 9]",女,男
昨天记者了解到，受伤的女司机经抢救无效已离世。,"[11, 12]",女,男
昨天上午，怀柔多家企事业单位的500余名女职工来到雁栖湖公园参加“展巾帼风采悦走雁栖湖”为主题的徒步健身活动。,"[47, 48]",女,男
昨天上午，一位小伙子在杭州市人民职校门口送考，女朋友走进考点后，仍驻足了很久。,"[23, 24]",女,男
昨天上午，又有一名因肺炎肺水肿引发多器官衰竭的7岁女童梓乐，被从河南新乡紧急转运至北京接受救治。,"[25, 26]",女,男
昨天中午12时30分许，一具尸体在象山石浦海域海面上被发现，衣着、体貌特征疑似失联女童。,"[41, 42]",女,男
昨晚比赛的后半段，上海女排打起了全华班，也是未雨绸缪。,"[11, 12]",女,男
昨晚的天津人民体育馆，天津女排迎来了新赛季的首个主场，这也是时隔三年之后朱婷在国内联赛的首秀。,"[13, 14]",女,男
左侧无名女墓内也出了一件残损的小铜质器物。,"[4, 5]",女,男
"做珊瑚白菜的是炊事员老宋,分不得什么红案面案,老宋就是老宋,一位五十出头的女工。","[37, 38]",女,男
做询问笔录期间，女店主情绪激动。,"[8, 9]",女,男
做优做强女企业家协会，开展品牌推荐展示活动，提升企业核心竞争力。,"[4, 5]",女,男
作家就是作家，为什么要强调女作家呢？,"[13, 14]",女,男
作家以朴实的笔触娓娓道来，展现了一个女作家的养成记。,"[18, 19]",女,男
作品以质朴、平实的语言，塑造了一位善良、自强、足智多谋的女主人公形象。,"[28, 29]",女,男
作品主要描述了有着20年军旅生涯的海军中校女军官怀揣创业梦想，离开军营南下创业，历尽千辛万苦、克服重重困难，最终获得成功、实现梦想的故事。,"[21, 22]",女,男
作为16名精英女讲师之一，我要努力向前冲，奋斗建新功，为全县脱贫攻坚工作奉献自己的巾帼力量。,"[8, 9]",女,男
作为北京中高端女装市场的代表，这些商户的入驻，意味着北京品牌化服装开始向石家庄转移。,"[7, 8]",女,男
作为女管家，地位显赫，但也责任重大。,"[2, 3]",女,男
作为女同胞，钱报记者还是比较喜欢口感甜美柔和的柑橘。,"[2, 3]",女,男
作为女演员，不仅要举着六七斤的木偶，还要操纵木偶上下翻飞，对臂力和体力要求极高。,"[2, 3]",女,男
作为一名中场选手，交出了25场10球的不俗数据，并连续第三年当选长春女足年度最佳球员。,"[34, 35]",女,男
作者着力刻画的这位女主角，完美的表象下是虚伪、虚荣、胆怯和贪婪。,"[9, 10]",女,男
坐落于南山区的招商局历史博物馆门前立着一尊雕塑，女神挣脱束缚，身体奋力欲飞，目光坚定，长发飞舞。,"[24, 25]",女,男
坐在方师傅车上的女乘客目睹了这一切，感慨道：“事发路段过往车辆较多，车辆前方还有三四个行人，幸好方师傅及时救险，否则后果不堪设想”。,"[8, 9]",女,男
儋州市人民医院医务人员和安保人员帮助一名走失女童找到家长，孩子的家人深表感谢。,"[51, 52]",女,男
岐岭下的上屋，曾住过一对首长夫妻，及几个女兵，当时还有一位带着婴儿。,"[39, 40]",女,男
毽子都是女娃娃们自己缝，两枚铜钱，一块深色的布，七八根鸡毛，缝在一起。,"[4, 5]",女,男
12岁男生救落水同学溺亡该不该认定见义勇为？,"[3, 5]",男,女
12月9日上午，一段“一男生被打”的视频在网上流传。,"[16, 18]",男,女
16岁男生每天要喝6000多毫升的水才“解渴”，家长担心孩子得了糖尿病，查血糖却是正常的。,"[14, 16]",男,女
16岁的甘肃男生小杨来沪务工实习时不幸被碎片打伤右眼，鲜血直流。,"[6, 8]",男,女
2018级护理专业的600多名学生中，200多名是男生。,"[25, 27]",男,女
23日，该校又有一名17岁男生自杀身亡。,"[13, 15]",男,女
30岁之前，我其实并没有这么独立，凡事也希望有个男生帮忙，但不知道怎么回事，一过30岁，我就喜欢凡事自己来。,"[28, 30]",男,女
9日下午，贵州财经大学商务学院两位大三男生前往校外取快递，途中正好遇见一餐馆发生火灾，看到餐馆老板手忙脚乱，越扑火苗越大时，两名大学生挺身而出取下灭火器进行扑救。,"[43, 45]",男,女
“春蕾计划”惠及男生，可不可以批评质疑？,"[8, 10]",男,女
一个20多岁的男生得到了心仪的孙悟空，开心地大叫起来。,"[36, 38]",男,女
一个小男生兴奋地告诉同伴，然后把谜题题号和谜底写在了小本上。,"[4, 6]",男,女
一个男生卖口红，并且是在直播间面对400万网友当众涂抹试用，这在前互联网时代是不可思议的事情。,"[2, 4]",男,女
一个男生惊呼：“最怕的是抄课文，四年级我连续几天吃中饭的时候讲话，被老师罚抄最长的一篇课文，从学校抄到家里，一共十来页”。,"[2, 4]",男,女
一个男生手举自己的作品，跟周围的小伙伴笑成一团。,"[3, 5]",男,女
一些成绩中等以上的男生，手里都能攥着五六份聘用通知。,"[9, 11]",男,女
一位初三的男生说，每天最怕老妈苦口婆心地唠叨自己要怎么怎么努力。,"[5, 7]",男,女
一位姓马的男生刚刚完成考试，表情还有点严肃，似乎对刚才的表现还不太满意。,"[5, 7]",男,女
一位小男生穿上新棉衣后说：“穿上新棉衣，很舒服，很开心”。,"[3, 5]",男,女
一位男生忍不住咆哮了一声。,"[3, 5]",男,女
一位高个子男生马上凑上来，吃了一块，见我们拍照，有些不好意思。,"[5, 7]",男,女
一位黑黑瘦瘦的小男生，在一次活动总结发言上说出的“蜗牛理论”，让我们在场的老师惊讶和佩服。,"[8, 10]",男,女
一切就像一场美好的梦，直到屏幕那头的男生提出去网上下注。,"[18, 20]",男,女
一名播音主持专业大四的男生说：“说实话，点外卖就是因为懒和作息不规律”。,"[11, 13]",男,女
一名男生佩戴着布满灵敏电极的黑色脑电极帽，紧盯屏幕，通过“意念”“隔空打字”，将字符输入指定区域。,"[2, 4]",男,女
一名男生悄悄告诉记者：“实话实说，我们班40个同学，有一半人每天都倒掉一半饭菜”。,"[2, 4]",男,女
一天，一名男生给海南师范大学“万能墙”发来信息。,"[6, 8]",男,女
一次卧谈会上，这几个70后男生突发奇想：11月11日，这个日期由四个“1”组成，看起来带着点凄凄惨惨戚戚的意思。,"[13, 15]",男,女
一见面，男生说：“我是某某，不好意思迟到了，路上太堵”。,"[4, 6]",男,女
三位男生，是一个寝室的，专门穿过了大半个浙大紫金港校区，来新食堂尝鲜。,"[2, 4]",男,女
上中学时，班里有个男生乳名“小猪”。,"[9, 11]",男,女
不一会儿，这个微胖的小男生额头上就冒出了细密的汗珠。,"[11, 13]",男,女
不相信一个男生可以整洁到这个地步。,"[5, 7]",男,女
不过，有的男生则纯粹是为了找刺激，故意在背后电话骚扰。,"[5, 7]",男,女
专科和博士毕业生中，男生更多。,"[10, 12]",男,女
两个小男生看我拄着拐杖，心疼我，就把我的课表记住了，只要我有课，就会来办公室，让我坐到椅子上，推着我进教室。,"[4, 6]",男,女
两个星期后，就在我差不多要忘掉这件事时，那个要送我春天的男生，写了一封信夹在作业本里。,"[28, 30]",男,女
两个男生在楼下用手机拍趴在楼顶的三只哈士奇狗，而哈士奇则一脸冷漠地看着楼下。,"[35, 37]",男,女
两个男生对买花都没有太多经验，绕着花店转了三四圈，讨论了许久，在店员建议之下，一个人买了一束红玫瑰一个人买了一束白玫瑰。,"[2, 4]",男,女
之后那个男生再也没来，我照样每晚图书馆拉闭馆铃才回寝室。,"[4, 6]",男,女
也有爱心男生拒领兔头，“不忍心吃兔兔”。,"[4, 6]",男,女
二是招生就业倾斜，吸引更多的优秀男生选择学习从事幼教职业。,"[16, 18]",男,女
于是，这个男生乖乖地回到座位改正。,"[6, 8]",男,女
今年上半年，一名刚上大学不久的男生在父母的陪同下前来检测。,"[15, 17]",男,女
今年的朗诵团成员中，一名2002年12月13日出生的男生将领诵。,"[26, 28]",男,女
从来没想到，有一天我也会开始为我家大二男生的恋爱操心。,"[19, 21]",男,女
以至于上大学的时候，同学都很好奇我一个男生怎么会织围巾。,"[19, 21]",男,女
会呀，去网吧是男生们的日常吧，朋友们会聚在一起上网打游戏，人多才热闹。,"[8, 10]",男,女
但不少同学不爱吃，尤其是男生。,"[12, 14]",男,女
但在今年执行过程中，有部分极度贫困地区学校老师反馈，当地贫困家庭男生也急需帮助，希望该项目施以援手。,"[32, 34]",男,女
但这个戏其实是第一次被搬上大银幕，我一开始设定的就是书粉看了有惊喜，非书粉觉得好看，男生看了也不讨厌，剧本达到这个标准才会开始改编。,"[42, 44]",男,女
"体育课上,几个男生带了弹弓,比谁的小石子儿射得更远,有人故意迸落了两颗在我肩上,肩上的触觉片刻后才苏醒刺痛起来。","[7, 9]",男,女
你可别被“枪战”这两个字吓坏了，这可是我们男生之间的快乐游戏！,"[21, 23]",男,女
偶有同学聚会，男生已经脱不掉职场的面具，一开口，就是二十分钟以上的侃侃而谈、纵横捭阖。,"[7, 9]",男,女
偷偷摘下那只野蜂巢的是一个大个子男生。,"[16, 18]",男,女
其中一名13岁男生身上藏有1把扳手及六合匙，另一人身上藏有1把剪刀，两人增加一项涉嫌藏有攻击性武器的罪名。,"[7, 9]",男,女
其间，大二男生出去给茶杯续水，发现周围的几个教室都是空的。,"[5, 7]",男,女
几乎每个男生，年少时都有一个警察梦。,"[4, 6]",男,女
刚一回头，我就看到了男生的大油头，开始我以为是定型发胶喷太多了，但定睛一看，黑色衣服上有一层头屑，才知道这油头是因为没洗头。,"[10, 12]",男,女
刚开始，我就挑自己喜欢的活儿做，把一些又脏又累的工作都分配给男生。,"[30, 32]",男,女
刚才那个“训练有素”的男生依旧率先发言。,"[12, 14]",男,女
初中一年级，拿着成绩单回家，考了第一，来访的亲戚看了看各科分数，却说第二和第三名的男生，这俩人数学成绩很好，会很快赶上你的。,"[41, 43]",男,女
前桌的男生眉毛上扬，眼睛已经眯成了一条缝，预备着看好戏了。,"[4, 6]",男,女
北京中学六年级三班的语文课堂上，一名男生细品着口中的榴莲糖，写下第一次“试吃”体验。,"[55, 57]",男,女
卷发对男生的杀伤力不用多说，直接绝杀，而今天小编推荐的这款云朵卷可以说是今年很火的发型。,"[3, 5]",男,女
去年2月，一名16岁的福州高一男生将激光笔对着自己的眼睛照了一下，致眼底的黄斑区受损，看东西时一直有个黑影，后期还可能出现病变。,"[15, 17]",男,女
又比如有培训机构建议考生刻意营造反差感，于是，考场上就有男生跳起了婉约的扇面舞，以求印象深刻。,"[28, 30]",男,女
受益于一笔5分钟到手的5万元贷款，这个90后男生在短短1年多时间里迅速开出两家店，目前每天营业额有1万元左右。,"[22, 24]",男,女
另外一个男生幽幽地说：“坐在一起干嘛”？,"[7, 9]",男,女
只有一位成绩拔尖的男生严肃向我建议：希望能让每个班都有外教课。,"[9, 11]",男,女
只有二者兼顾，找到战略平衡点的男生，才可以爱情事业双丰收。,"[15, 17]",男,女
只要一下课，调皮的男生就会亮出胳膊上的图案，扮演着各种动画片里的角色。,"[9, 11]",男,女
只要看到有男生特别高调的样子，我就浑身难受。,"[5, 7]",男,女
吃过早饭，我带着四个大力士男生，去山中寻找元旦树。,"[13, 15]",男,女
各民族男生组成，共有来自全国24所学校的代表队参加了本次比赛。,"[3, 5]",男,女
同时，学校在招生就业上予以一定倾斜，吸引更多的优秀男生选择幼教专业。,"[25, 27]",男,女
后座的一位男生偷偷地给我打个手势，却没说话。,"[5, 7]",男,女
后来，这个男生各方面的进步都很大，读书也越来越有劲了，从班里的后三分之一到后来全年级名列前茅。,"[5, 7]",男,女
听完男生这些经历，我忍不住回头想看看本尊的样子，实在太好奇了。,"[2, 4]",男,女
听说有这么多男生来应征，三位老师蛮开心。,"[6, 8]",男,女
听说给贫困孩子织“温暖三件套”，大家的积极性都非常高，甚至还有两名男生主动加入编织队伍。,"[33, 35]",男,女
哎，也是，感情这事还真是说不准，但是那个幸运的男生什么时候会降临到我的身边呢？,"[23, 25]",男,女
回想起刚毕业那一届孩子，当时正处于六年级叛逆期，男生性格冲动情绪差，时常打架闹事，一片“鸡飞狗跳”。,"[24, 26]",男,女
因为在很多人眼里，中文系的男生好像就是手无缚鸡之力的酸秀才。,"[13, 15]",男,女
因为我很年轻就出来工作了，也没念过大学，我对学历高的男生天生有好感。,"[26, 28]",男,女
因为找不到解决问题的办法，弯弯剪男生头、跳街舞、迷恋手机游戏，以此发泄，导致学习成绩一落千丈。,"[16, 18]",男,女
因此，当资助对象中出现男生时，捐助人表示自己受到了欺骗，十分失望和愤怒。,"[11, 13]",男,女
因此，班上的男生都不怎么敢“嚣张”！,"[6, 8]",男,女
在下午第一、第二节下课时，你又会看到全班男生都在班级门口做俯卧撑的场景。,"[21, 23]",男,女
在与男生相处时，要保持距离，不超越友谊的界限，要避免过分的热情和亲近。,"[2, 4]",男,女
在今年项目执行过程中，有部分极度贫困地区学校老师向工作人员反馈，当地贫困家庭男生也亟需帮助，希望该项目施以援手。,"[38, 40]",男,女
在军营历练过的男生，一眼就能看出不同。,"[8, 10]",男,女
在单位给饮水机换水时，周围男生都投来惊诧的目光。,"[13, 15]",男,女
在大学男生宿舍里，大家的东西基本上都是随手一放，找东西的时候能看见就找一找，看不见索性就不找了。,"[3, 5]",男,女
在如此“凶悍”的门房治下，男生一到东宫门口，便再也不敢越雷池一步。,"[26, 28]",男,女
在座的一个小男生轻声说：去操场了吧。,"[6, 8]",男,女
在招聘现场，还有很多男生也在报考空乘的队伍中。,"[10, 12]",男,女
在本场节目中，出现了高水平的男生小合唱节目《少林少林》。,"[44, 46]",男,女
在海南白驹学校南门东侧的斑马线两端设置了红绿灯，3个五六年级模样的男生结伴而行。,"[33, 35]",男,女
在现场，一位穿着军运会工作制服的男生格外亮眼。,"[16, 18]",男,女
在第一批研修生中，曾有一位寡言少语的男生，在一次集体活动时独自留在站上，夜晚又违反保护站出行规则独自上山散步，之后也被劝退了。,"[28, 30]",男,女
在自由活动时间，九（3）班的男生们在草地上玩起了“摔跤”，无论输赢，脸上都带着笑容。,"[14, 16]",男,女
坐在场边的不少男生戏称本次比赛是一届“颜值与实力并存”的大赛。,"[8, 10]",男,女
多名孩子临危不乱，还有一名调皮的男生说：“老师，我们藏好了，悄悄的，坏人找不到我们”。,"[16, 18]",男,女
大三那年冬天，我和班上一个帅气的男生恋爱了。,"[16, 18]",男,女
大多数男生都是自己报名的。,"[3, 5]",男,女
大学生里十个男生有八九个都喜欢鞋，需求量挺大的，价格应该会下来一些，但也许不会大幅下跌。,"[6, 8]",男,女
大约1977年，海军在我们那里招收飞行员，我们男生大体上都参加体检了，像我这一类因身上有疤痕，第一关就被无情地淘汰了。,"[23, 25]",男,女
大约两三分钟，队伍便整好了，也许是场面有威慑力，几个调皮的男生也不敢在那么多同学面前跳来跳去，老老实实地站好队。,"[29, 31]",男,女
好多老师说要带着孩子一起来参加走秀，很多男生也要参加，估计走秀的人数会超过100人。,"[21, 23]",男,女
如果不看脸，真觉得是个男生。,"[11, 13]",男,女
如果是男生，留在大医院的几率就更大。,"[3, 5]",男,女
如果男生想要精致一点话，描眉这些我也可以接受。,"[3, 5]",男,女
学习舞蹈，老师和学员都想追求高水准，学员受伤是难免的事，特别是在训练技巧的时候，男生受伤的机会更多。,"[40, 42]",男,女
学校每次上体育大课，男生们没一个请假的。,"[10, 12]",男,女
学校野炊，人小一些，在组里不是主力，做饭捡柴提水都不用我，被安排去烧火，根本做不好，一个男生接过去，让我去冲碗，明明万里无云，却有一小丝在飘来荡去。,"[44, 46]",男,女
学生双手持球棒，击打固定在正前方的塑料球时，大部分学生能一次挥棒击中，也有一名男生两次均未打到小球。,"[39, 41]",男,女
对此，除溺亡男生父母可依法向受益人家庭索赔外，政府有关部门还应该给予适当经济救济，不让“英雄流血又流泪”。,"[6, 8]",男,女
小小年纪这么大的报复心理，男生的家长应该重视一下，是家庭环境造成的还是心理有疾病。,"[47, 49]",男,女
小男生坐下来的时候，可以把腿稍稍分开，两手搭在膝盖上，上身保持直立。,"[3, 5]",男,女
小说里“校园茂密的梧桐”“街角咖啡店偶遇”的浪漫，以及“穿着白衬衣坐在阶梯教室后排的男生”。,"[42, 44]",男,女
尤其对男生来说质疑声更大，说你有手有脚干什么不好，给老人喂水喂饭、端屎端尿不嫌丢人吗？,"[3, 5]",男,女
就业时，男生很吃香，医院争着要。,"[4, 6]",男,女
希望能有时间多陪陪父母，家人团聚一次太难了，很感动这么有爱的男生。,"[40, 42]",男,女
当年看到这条微博的人，八成会觉得这是一个青春期男生的小心思和大梦想。,"[26, 28]",男,女
当我看到我喜欢的男生接二连三地在那里留下写给小的甜言蜜语，我的心是酸的。,"[8, 10]",男,女
当时，我们看班里男生打篮球赛，突然下大雨，全身都淋湿了。,"[9, 11]",男,女
当晚回到寝室，三儿说，那个体育系男生来了，问咱俩怎么当逃兵了。,"[16, 18]",男,女
当然了，如果男生不是在早上六七点叫醒我，叫我下去拿早餐，我会更开心的。,"[6, 8]",男,女
很多男生一方面觉得自己没有能力养家，另一方面压力也大。,"[3, 5]",男,女
很多男生喜欢比赛掰手腕。,"[33, 35]",男,女
